CID;docking score
5318767;-8.531
5280805;-8.106
5282159;-7.979
122850;-7.973
73571;-7.722
5319484;-7.69
932;-7.519
5280343;-7.381
5280863;-7.31
5281628;-7.206
5280804;-7.152
5280443;-7.102
5356057;-7.087
5282102;-6.909
5280445;-6.835
44258141;-6.781
68071;-6.742
154279;-6.697
3083788;-6.64
68213;-6.627
5281672;-6.61
86609;-6.53
2345;-6.504
8363;-6.496
3034034;-6.463
3034034;-6.463
44258359;-6.454
6429022;-6.362
441005;-6.307
119853;-6.297
5280459;-6.28
1794427;-6.275
93081;-6.21
5317284;-6.193
6987;-6.163
6432404;-6.133
6508206;-6.112
x77;-6.102
11770062;-6.062
13894537;-6.054
11106485;-6.051
62566;-6.038
14753671;-5.992
316974;-5.956
26447;-5.925
6986;-5.92
24798693;-5.916
5317570;-5.887
11745938;-5.885
159287;-5.876
2758;-5.867
19725;-5.865
5298;-5.864
12315151;-5.838
2537;-5.831
7461;-5.817
6436582;-5.815
576906;-5.811
6432468;-5.796
10659;-5.775
12306047;-5.768
14896;-5.762
440967;-5.762
11463;-5.755
1742210;-5.75
5281515;-5.734
8742;-5.719
7150;-5.714
92231;-5.714
11230;-5.714
6432640;-5.708
15715157;-5.707
636822;-5.683
636822;-5.683
64685;-5.677
8785;-5.675
10398656;-5.66
798;-5.647
76573;-5.645
101629835;-5.64
17868;-5.638
6451618;-5.638
6654;-5.636
440968;-5.636
91354;-5.622
11095734;-5.622
656496;-5.608
11142;-5.6
442495;-5.59
10248;-5.577
6432176;-5.566
160799;-5.563
18818;-5.542
6432225;-5.54
442501;-5.527
6429302;-5.52
240;-5.497
6429102;-5.491
5352847;-5.49
42608158;-5.478
5281520;-5.449
6054;-5.431
10104370;-5.407
17100;-5.398
14529;-5.371
1254;-5.333
27867;-5.309
75699;-5.309
12309449;-5.202
440917;-5.132
92776;-5.086
31225;-5.082
22311;-5.03
12304273;-5.005
1549992;-4.974
7127;-4.938
6918391;-4.901
94254;-4.884
92139;-4.883
3314;-4.871
4133;-4.87
1549025;-4.289
525;-4.277
6549;-4.188
16213286;-4.146
61290;-4.136
7794;-3.92
5281553;-3.778
5281553;-3.778
643779;-3.597
444972;-3.533
5320250;-3.42
971;-3.112
5365996;-2.989
31253;-2.877
31253;-2.877
31253;-2.877
31253;-2.877
5284507;-2.655
3931;-2.545
11043779;-2.474
3931;-2.318
3931;-2.203
3931;-2.183
1549109;-2.035
5281516;-1.945
5355853;-1.924
445639;-1.686
5282754;-1.626
10465;-1.503
7843;-1.404
5281517;-1.399
5318393;-1.333
445638;-1.287
13849;-1.096
985;-0.917
11005;-0.694
3893;0.067
12391;0.203
